iter	Passed	Remaining
0	1	108
1	1	95
2	2	89
3	3	83
4	4	83
5	5	81
6	6	82
7	7	80
8	8	81
9	9	81
10	10	81
11	11	84
12	12	84
13	13	84
14	14	83
15	15	82
16	16	81
17	17	80
18	18	80
19	19	79
20	20	77
21	22	78
22	23	77
23	24	76
24	25	75
25	26	74
26	27	73
27	27	71
28	28	70
29	29	68
30	30	67
31	31	65
32	32	65
33	32	63
34	33	62
35	34	61
36	35	60
37	36	58
38	37	58
39	38	57
40	39	56
41	39	54
42	40	53
43	41	52
44	42	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	66	24
73	67	23
74	68	22
75	69	21
76	70	20
77	70	19
78	71	19
79	72	18
80	73	17
81	74	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	83	7
92	84	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	89	0
